title,dev,date
King’s Quest II: Romancing the Stones,Himalaya Studios,
Sonic the Hedgehog Pocket Adventure,,"
4 декабря 1999 г. "
Sonic Advance 3,Sonic Team,"
7 июня 2004 г. "
Sonic Blast,,"
14 ноября 1996 г. "
Sonic Rush,Sonic Team,"
15 ноября 2005 г. "
Sonic Advance 2,Sonic Team,"
19 декабря 2002 г. "
Sonic Rush Adventure,Sonic Team,"
13 сентября 2007 г. "
Sonic 3D Blast,Sonic Team,"
7 ноября 1996 г. "
Sonic Advance,Sonic Team,"
20 декабря 2001 г. "
That's a lot of pixels!,,
Shadow the Hedgehog,SEGA Studios,"
15 ноября 2005 г. "
Sonic and the Secret Rings,Sonic Team,"
20 февраля 2007 г. "
Sonic the Hedgehog (2006),Sonic Team,"
14 ноября 2006 г. "
Sonic and the Black Knight,Sonic Team,"
3 марта 2009 г. "
Sonic Drift,SEGA,
Sonic R,Sonic Team,"
18 ноября 1997 г. "
Sonic Unleashed,Sonic Team,"
18 ноября 2008 г. "
Sonic Drift 2,Arc System Works,"
17 марта 1995 г. "
Sonic Racing Kart,,
Sonic Rivals 2,SEGA,
Sonic Riders: Zero Gravity,Sonic Team,"
8 января 2008 г. "
Sonic Rivals,SEGA,
Sonic Free Riders,Sonic Team,"
4 ноября 2010 г. "
Tom´s Adventure,Nagus Games,
Sonic the Fighters,,"
июнь 1996 г. "
Helvetii,,"
3 февраля 2023 г. "
Knuckles' Chaotix,SEGA,
Lands of Rage,,
Iragon 18+,,"
21 марта 2023 г. "
我的变色龙女友My Chameleon Girlfriend,,
Islands of the Caliph,,
Shin Megami Tensei: Digital Devil Saga 2,Atlus,"
27 января 2005 г. "
Tokyo Mirage Sessions ♯FE,Atlus,"
26 декабря 2015 г. "
The Legend of Heroes: Trails to Azure,"NIS America, Inc.",
A Shaman's Ballard,,
Fallen Dungeons,,"
22 марта 2023 г. "
不思議の大冒険 チルノ見参!,,
OUTSTAND,,
Chill Town,Low-Hi Tech,
Shin Megami Tensei: Devil Summoner,Atlus,"
25 декабря 1995 г. "
Devil Summoner: Soul Hackers,Atlus,"
13 ноября 1997 г. "
Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon,Atlus,"
23 октября 2008 г. "
Devil Summoner: Raidou Kuzunoha vs. the Soulless Army,Atlus,"
2 марта 2006 г. "
Revelations: Persona,Atlus,"
20 сентября 1996 г. "
Persona 4 Arena,Arc System Works,"
1 марта 2012 г. "
Persona 2: Eternal Punishment,Atlus,"
29 июня 2000 г. "
Persona Q2: New Cinema Labyrinth,,"
29 ноября 2018 г. "
Persona 4: Dancing All Night,,"
25 июня 2015 г. "
Persona 3: Dancing in Moonlight,,"
24 мая 2018 г. "
Jack Bros.,Atlus,"
29 сентября 1995 г. "
Persona 5: Dancing in Starlight,,"
24 мая 2018 г. "
Kuon,FromSoftware,"
1 апреля 2004 г. "
3D Dot Game Heroes,Silicon Studio,"
5 ноября 2009 г. "
Chromehounds,SEGA,
The Adventures of Cookie & Cream,FromSoftware,"
7 декабря 2000 г. "
Déraciné,FromSoftware,"
6 ноября 2018 г. "
Enchanted Arms,FromSoftware,"
12 января 2006 г. "
