title,author,link,date,number_of_views
NAVI выиграла главный турнир по CS:GO за последние два года,Геннадий Воробьев,https://stopgame.ru/newsdata/50719/navi_vyigrala_glavnyy_turnir_po_cs_go_za_poslednie_dva_goda,"
8 ноября 2021 ", 7879
«Теперь мы ведущая киберспортивная держава» — Виталий Милонов о победах NAVI и Team Spirit,Руслан Присекин,https://stopgame.ru/newsdata/50735/teper_my_veduschaya_kibersportivnaya_derzhava_vitaliy_milonov_o_pobedah_navi_i_team_spirit,"
9 ноября 2021 ", 12K
Аудитория The International 2022 оказалась самой маленькой за последние годы,Руслан Присекин,https://stopgame.ru/newsdata/55640/auditoriya_the_international_2022_okazalas_samoy_malenkoy_za_poslednie_gody,"
31 октября ", 2188
Чемпионы турнира по Dota 2 из Team Spirit пришли на шоу Ивана Урганта,Руслан Присекин,https://stopgame.ru/newsdata/50479/chempiony_turnira_po_dota_2_iz_team_spirit_prishli_na_shou_ivana_urganta,"
22 октября 2021 ", 6892
Владимир Путин поздравил Team Spirit с победой на турнире по Dota 2,Андрей Маковеев,https://stopgame.ru/newsdata/50386/vladimir_putin_pozdravil_team_spirit_s_pobedoy_na_turnire_po_dota_2,"
18 октября 2021 ", 11K
Российская Team Empire вновь заняла второе место на крупнейшем турнире по Rainbow Six Siege,Геннадий Воробьев,https://stopgame.ru/newsdata/52173/rossiyskaya_team_empire_vnov_zanyala_vtoroe_mesto_na_krupneyshem_turnire_po_rainbow_six_siege,"
21 февраля ", 6823
Мэйджор по Rainbow Six Siege в Арабских Эмиратах отменён из-за требований сообщества ЛГБТК+,Лина Скорич,https://stopgame.ru/newsdata/52215/meydzhor_po_rainbow_six_siege_v_arabskih_emiratah_otmen_n_iz_za_trebovaniy_soobschestva_lgbtk,"
23 февраля ", 4564
"19 апреля анонсируют следующее дополнение для WoW, а в мае — мобильную игру по Warcraft",Руслан Присекин,https://stopgame.ru/newsdata/52361/19_aprelya_anonsiruyut_sleduyuschee_dopolnenie_dlya_wow_a_v_mae_mobilnuyu_igru_po_warcraft,"
7 марта ", 6014
"Авторы MOBA-игры Arena of Valor организовали шоу-матч, в котором поучаствуют Ramzes666, NS и прочие киберспортсмены",Лина Скорич,https://stopgame.ru/newsdata/51463/avtory_moba_igry_arena_of_valor_organizovali_shou_match_v_kotorom_pouchastvuyut_ramzes666_ns_i_prochie_kibersportsmeny,"
30 декабря 2021 ", 6871
"Читер-киберспортсмен глупо спалился на читах, пытаясь доказать, что он не читер",Геннадий Воробьев,https://stopgame.ru/newsdata/52676/chiter_kibersportsmen_glupo_spalilsya_na_chitah_pytayas_dokazat_chto_on_ne_chiter,"
30 марта ", 11K
Федерация компьютерного спорта России предложила давать киберспортсменам отсрочку от армии,Руслан Присекин,https://stopgame.ru/newsdata/53007/federaciya_kompyuternogo_sporta_rossii_predlozhila_davat_kibersportsmenam_otsrochku_ot_armii,"
23 апреля ", 10K
The International 11 пройдёт в октябре в Сингапуре,Лина Скорич,https://stopgame.ru/newsdata/53412/the_international_11_proyd_t_v_oktyabre_v_singapure,"
23 мая ", 5063
В Госдуме хотят создать киберспортивные роты,Руслан Присекин,https://stopgame.ru/newsdata/53454/v_gosdume_hotyat_sozdat_kibersportivnye_roty,"
26 мая ", 11K
Минспорта РФ признало новую видеоигровую дисциплину — «тактический трёхмерный бой»,Геннадий Воробьев,https://stopgame.ru/newsdata/53458/minsporta_rf_priznalo_novuyu_videoigrovuyu_disciplinu_takticheskiy_tr_hmernyy_boy,"
26 мая ", 12K
The International 11 станет крупнейшим турниром в истории Dota 2 — участие примут 30 команд ,Лина Скорич,https://stopgame.ru/newsdata/53553/the_international_11_stanet_krupneyshim_turnirom_v_istorii_dota_2_uchastie_primut_30_komand,"
2 июня ", 2479
"Pokémon Presents: трейлер игрового мира Scarlet и Violet, а также новости о франшизе",Руслан Присекин,https://stopgame.ru/newsdata/54344/pok_mon_presents_trailer_igrovogo_mira_scarlet_i_violet_a_takzhe_novosti_o_franshize,"
3 августа ", 11K
Team Spirit одержала победу на PGL Arlington Major по Dota 2,Лина Скорич,https://stopgame.ru/newsdata/54488/team_spirit_oderzhala_pobedu_na_pgl_arlington_major_po_dota_2,"
15 августа ", 3642
Главный турнир по Dota 2 выиграла команда из СНГ — второй раз за всю историю чемпионата,Руслан Присекин,https://stopgame.ru/newsdata/50372/glavnyy_turnir_po_dota_2_vyigrala_komanda_iz_sng_vtoroy_raz_za_vsyu_istoriyu_chempionata,"
17 октября 2021 ", 8051
StopGame.ru начинает турнир по Apex Legends — играйте и выгрывайте вместе с нашими авторами!,Геннадий Воробьев,https://stopgame.ru/newsdata/50993/stopgame_ru_nachinaet_turnir_po_apex_legends_igrayte_i_vygryvayte_vmeste_s_nashimi_avtorami,"
9 декабря 2021 ", 11K
"Dota 2: победителем The International 2022 стала Tundra Esports, анонсирован новый герой",Руслан Присекин,https://stopgame.ru/newsdata/55628/dota_2_pobeditelem_the_international_2022_stala_tundra_esports_anonsirovan_novyy_geroy,"
30 октября ", 4287
Шестилетний профессиональный геймер завирусился после фейкового бана в Warzone,Геннадий Воробьев,https://stopgame.ru/newsdata/46078/shestiletniy_professionalnyy_geymer_zavirusilsya_posle_feykovogo_bana_v_warzone,"
14 декабря 2020 ", 9774
«Погибель» — короткометражка о Падшем короле в честь нового сезона League of Legends,Геннадий Воробьев,https://stopgame.ru/newsdata/46307/pogibel_korotkometrazhka_o_padshem_korole_v_chest_novogo_sezona_league_of_legends,"
9 января 2021 ", 15K
На официальном турнире по Mortal Kombat посреди матча забанили участника за полушуточную критику разработчиков,Геннадий Воробьев,https://stopgame.ru/newsdata/46435/na_oficialnom_turnire_po_mortal_kombat_posredi_matcha_zabanili_uchastnika_za_polushutochnuyu_kritiku_razrabotchikov,"
20 января 2021 ", 25K
Sony покупает киберспортивную платформу Repeat.gg,Руслан Присекин,https://stopgame.ru/newsdata/54153/sony_pokupaet_kibersportivnuyu_platformu_repeat_gg,"
18 июля ", 1829
Анонс турнирного сезона по Mobile Legends: Bang Bang в СНГ,Руслан Присекин,https://stopgame.ru/newsdata/47417/anons_turnirnogo_sezona_po_mobile_legends_bang_bang_v_sng,"
2 апреля 2021 ", 7699
The International вернётся в этом августе с рекордным призовым фондом,Геннадий Воробьев,https://stopgame.ru/newsdata/47941/the_international_vern_tsya_v_etom_avguste_s_rekordnym_prizovym_fondom,"
12 мая 2021 ", 5433
"Гейб Ньюэлл — о вопросах про Half-Life 3, отношении к Cyberpunk 2077 и играх, которые он проходит",Андрей Маковеев,https://stopgame.ru/newsdata/46438/geyb_nyuell_o_voprosah_pro_half_life_3_otnoshenii_k_cyberpunk_2077_i_igrah_kotorye_on_prohodit,"
20 января 2021 ", 25K
Смотрите финал турнира Russian Major League по Rainbow Six Siege с 28-го по 30 мая,Руслан Присекин,https://stopgame.ru/newsdata/48146/smotrite_final_turnira_russian_major_league_po_rainbow_six_siege_s_28_go_po_30_maya,"
27 мая 2021 ", 3104
Турнир Adrenaline Cyber League возвращается. Призовой фонд составляет 2 000 000 рублей,Геннадий Воробьев,https://stopgame.ru/newsdata/48147/turnir_adrenaline_cyber_league_vozvraschaetsya_prizovoy_fond_sostavlyaet_2_000_000_rubley,"
27 мая 2021 ", 3431
Франшиза Valorant расширяется: у неё появится версия для мобильных телефонов,Геннадий Воробьев,https://stopgame.ru/newsdata/48231/franshiza_valorant_rasshiryaetsya_u_ne_poyavitsya_versiya_dlya_mobilnyh_telefonov,"
2 июня 2021 ", 6311
В Швеции отказались признавать киберспорт профессиональным спортом — Valve приходится менять планы на The International,Геннадий Воробьев,https://stopgame.ru/newsdata/48581/v_shvecii_otkazalis_priznavat_kibersport_professionalnym_sportom_valve_prihoditsya_menyat_plany_na_the_international,"
22 июня 2021 ", 5816
Гранд-финал Free Fire Pro League CIS состоится 13 марта,Андрей Маковеев,https://stopgame.ru/newsdata/47121/grand_final_free_fire_pro_league_cis_sostoitsya_13_marta,"
12 марта 2021 ", 13K
The International снова задерживается и переезжает в Румынию,Геннадий Воробьев,https://stopgame.ru/newsdata/48822/the_international_snova_zaderzhivaetsya_i_pereezzhaet_v_rumyniyu,"
8 июля 2021 ", 4029
Через 10 дней Blizzard проведёт шоу-матч в Overwatch 2 и расскажет о переработанных Бастионе и Сомбре,Андрей Маковеев,https://stopgame.ru/newsdata/49900/cherez_10_dney_blizzard_proved_t_shou_match_v_overwatch_2_i_rasskazhet_o_pererabotannyh_bastione_i_sombre,"
16 сентября 2021 ", 4732
"СМИ: Overwatch 2 планируют выпустить до лета 2022-го, а скандал с Blizzard больно ударил по Overwatch League",Геннадий Воробьев,https://stopgame.ru/newsdata/49646/smi_overwatch_2_planiruyut_vypustit_do_leta_2022_go_a_skandal_s_blizzard_bolno_udaril_po_overwatch_league,"
1 сентября 2021 ", 14K
Overwatch League перейдёт на раннюю версию Overwatch 2 в апреле 2022-го,Геннадий Воробьев,https://stopgame.ru/newsdata/49704/overwatch_league_pereyd_t_na_rannyuyu_versiyu_overwatch_2_v_aprele_2022_go,"
4 сентября 2021 ", 4983
Трибуны не будут пустовать на The International — продажа билетов стартует 22 сентября,Лина Скорич,https://stopgame.ru/newsdata/49915/tribuny_ne_budut_pustovat_na_the_international_prodazha_biletov_startuet_22_sentyabrya,"
17 сентября 2021 ", 3362
Genshin Impact и сиквел Breath of the Wild — самые популярные игры в «Твиттере» за первое полугодие 2021-го,Руслан Присекин,https://stopgame.ru/newsdata/48572/genshin_impact_i_sikvel_breath_of_the_wild_samye_populyarnye_igry_v_tvittere_za_pervoe_polugodie_2021_go,"
21 июня 2021 ", 4579
Книга рекордов Гиннесса вернула звание рекордсмена «геймеру столетия» Билли Митчеллу,Геннадий Воробьев,https://stopgame.ru/newsdata/43604/kniga_rekordov_ginnessa_vernula_zvanie_rekordsmena_geymeru_stoletiya_billi_mitchellu,"
19 июня 2020 ", 14K
"Новый Бастион, новая Сомбра и киберспортивный шоу-матч — свежие подробности об Overwatch 2",Геннадий Воробьев,https://stopgame.ru/newsdata/50039/novyy_bastion_novaya_sombra_i_kibersportivnyy_shou_match_svezhie_podrobnosti_ob_overwatch_2,"
26 сентября 2021 ", 7317
«М.Видео» и JBL проводят турнир по Fortnite для всех желающих,Геннадий Воробьев,https://stopgame.ru/newsdata/43637/m_video_i_jbl_provodyat_turnir_po_fortnite_dlya_vseh_zhelayuschih,"
23 июня 2020 ", 18K
Отменён файтинг-турнир EVO 2020 — президента организации обвинили в непристойном сексуальном поведении,Геннадий Воробьев,https://stopgame.ru/newsdata/43771/otmen_n_fayting_turnir_evo_2020_prezidenta_organizacii_obvinili_v_nepristoynom_seksualnom_povedenii,"
3 июля 2020 ", 4001
